sector,ECtoWSInc,FTEperTotalEmp
1,1.256529382,0.857493857
2,1.256529382,0.857493857
3,1.256529382,0.857493857
4,1.256529382,0.857493857
5,1.256529382,0.857493857
6,1.256529382,0.857493857
7,1.256529382,0.857493857
8,1.256529382,0.857493857
9,1.256529382,0.857493857
10,1.256529382,0.857493857
11,1.256529382,0.857493857
12,1.256529382,0.857493857
13,1.256529382,0.857493857
14,1.256529382,0.857493857
15,1.251357712,0.866251944
16,1.251357712,0.866251944
17,1.251357712,0.866251944
18,1.251357712,0.866251944
19,1.254044533,0.860082305
20,1.200581508,0.985915493
21,1.228032139,0.984293194
22,1.228032139,0.984293194
23,1.228032139,0.984293194
24,1.228032139,0.984293194
25,1.228032139,0.984293194
26,1.228032139,0.984293194
27,1.228032139,0.984293194
28,1.228032139,0.984293194
29,1.228032139,0.984293194
30,1.228032139,0.984293194
31,1.228032139,0.984293194
32,1.228032139,0.984293194
33,1.228032139,0.984293194
34,1.228032139,0.984293194
35,1.143778512,0.985294118
36,1.143778512,0.985294118
37,1.143778512,0.985294118
38,1.143778512,0.985294118
39,1.384673343,0.990892532
40,1.384673343,0.990892532
41,1.384673343,0.990892532
42,1.384673343,0.990892532
43,1.384673343,0.990892532
44,1.384673343,0.990892532
45,1.384673343,0.990892532
46,1.384673343,0.990892532
47,1.384673343,0.990892532
48,1.384673343,0.990892532
49,1.384673343,0.990892532
50,1.184014246,0.969395762
51,1.184014246,0.969395762
52,1.184014246,0.969395762
53,1.184014246,0.969395762
54,1.184014246,0.969395762
55,1.184014246,0.969395762
56,1.184014246,0.969395762
57,1.184014246,0.969395762
58,1.184014246,0.969395762
59,1.184014246,0.969395762
60,1.184014246,0.969395762
61,1.184014246,0.969395762
62,1.184014246,0.969395762
63,1.236730797,0.958896982
64,1.236730797,0.958896982
65,1.236730797,0.958896982
66,1.236730797,0.958896982
67,1.236730797,0.958896982
68,1.236730797,0.958896982
69,1.236730797,0.958896982
70,1.236730797,0.958896982
71,1.236730797,0.958896982
72,1.236730797,0.958896982
73,1.236730797,0.958896982
74,1.236730797,0.958896982
75,1.236730797,0.958896982
76,1.236730797,0.958896982
77,1.236730797,0.958896982
78,1.236730797,0.958896982
79,1.236730797,0.958896982
80,1.236730797,0.958896982
81,1.236730797,0.958896982
82,1.236730797,0.958896982
83,1.236730797,0.958896982
84,1.236730797,0.958896982
85,1.236730797,0.958896982
86,1.236730797,0.958896982
87,1.236730797,0.958896982
88,1.236730797,0.958896982
89,1.236730797,0.958896982
90,1.236730797,0.958896982
91,1.236730797,0.958896982
92,1.236730797,0.958896982
93,1.236730797,0.958896982
94,1.236730797,0.958896982
95,1.236730797,0.958896982
96,1.236730797,0.958896982
97,1.236730797,0.958896982
98,1.236730797,0.958896982
99,1.236730797,0.958896982
100,1.236730797,0.958896982
101,1.236730797,0.958896982
102,1.236730797,0.958896982
103,1.236730797,0.958896982
104,1.236730797,0.958896982
105,1.236730797,0.958896982
106,1.236730797,0.958896982
107,1.236730797,0.958896982
108,1.236730797,0.958896982
109,1.236730797,0.958896982
110,1.202612482,0.959276018
111,1.202612482,0.959276018
